mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_22882,CC1C=CC(=NO)C1O,2.77985,1.30463,0.9976700000000001,1.1929,79.47,-0.2293,-0.035,0.1943,1202.9864,0.147014,-439.05835599999995,-439.04937,-439.04842599999995,-439.09207000000004,33.694,-1733.335480232,-1743.6943988041,-1753.7703108171,-1611.357770776
gdb_39045,C1C2CC=CC3OC2C13,2.45139,2.19682,1.7756599999999998,1.565,78.1,-0.2288,0.0063,0.2351,879.9595,0.162822,-385.862956,-385.856563,-385.855619,-385.893225,27.587,-1896.0002457391001,-1908.8761029101001,-1919.5450109279998,-1765.739417483
gdb_109279,CCC1=CCNC(=O)C1,2.76823,1.13583,0.8584799999999999,3.6978,82.7,-0.2367,0.0174,0.2541,1379.3628,0.172019,-403.206958,-403.197791,-403.19684700000005,-403.241898,33.535,-1962.917805499,-1974.9408779391001,-1986.202781962,-1828.5944839771
gdb_92235,OC1CC2CN3CC3C12,2.75351,1.70816,1.34303,2.7527,76.99,-0.2191,0.064,0.2832,1009.4995,0.173468,-403.108515,-403.101018,-403.100073,-403.140163,30.621,-1901.1439370121,-1914.2149494820999,-1925.476225996,-1764.754855862
gdb_49519,O=CC1C2OC1C1OC21,3.7588199999999996,1.31545,1.19182,2.8949,64.05,-0.2462,-0.0316,0.2146,1020.6569999999999,0.11248,-457.694653,-457.687903,-457.686959,-457.726179,26.243000000000002,-1517.7221328141,-1526.818503278,-1535.115427276,-1414.479959571
gdb_48639,O=CC12NC(C=C1)C=C2,3.4670099999999997,1.52425,1.36456,2.5235,72.09,-0.2242,-0.0345,0.1897,957.4618,0.125359,-400.71767,-400.710694,-400.70974900000004,-400.749237,27.873,-1656.570421735,-1666.4141554179998,-1675.3034479120001,-1546.8724359
gdb_91703,CC1CC2CC1N=CO2,2.57123,1.76335,1.56051,2.0995,77.3,-0.2432,0.0237,0.2669,974.4704,0.17471099999999998,-403.181663,-403.174381,-403.17343700000004,-403.213084,29.776,-1947.0449653441,-1960.2508922491,-1971.512796272,-1810.5134396510998
gdb_129191,N=C1NN=C(N1)OC=O,6.88663,0.8691399999999999,0.77888,1.8782,64.01,-0.2153,-0.0305,0.1847,1342.8269,0.08973400000000001,-486.08679800000004,-486.078846,-486.07790199999994,-486.119929,28.34,-1305.713197092,-1312.276313723,-1319.387245711,-1215.872733562
gdb_98130,CNC(=O)C(=O)NC=O,4.7062800000000005,0.86208,0.7319899999999999,3.4678,66.95,-0.2541,-0.0672,0.1869,1469.5535,0.11189400000000001,-491.166308,-491.15691100000004,-491.15596600000003,-491.201616,31.451,-1516.1389276071,-1523.57302673,-1531.8693232189999,-1414.653779564
gdb_77701,CC1C2(CC2)OC13CC3,2.9121799999999998,1.34705,1.10115,1.5471,83.36,-0.2133,0.0787,0.292,1196.9107,0.18078,-387.045546,-387.03668,-387.035736,-387.079025,34.75,-2010.2344941351,-2023.3356270370998,-2035.190527065,-1868.6170079971
gdb_10554,OCCC1(CN1)C#C,2.83657,1.6404299999999998,1.27083,2.023,70.65,-0.239,0.046,0.2849,1004.3863,0.140577,-363.792448,-363.78369399999997,-363.78275,-363.825813,32.038000000000004,-1606.999720771,-1616.6156686871,-1626.099212204,-1494.186152751
gdb_87466,CC1CC11C2CC1C2=O,3.4715300000000004,1.25063,1.11356,3.1839999999999997,81.01,-0.2391,0.0133,0.2524,1153.7692,0.158735,-385.839489,-385.83138399999996,-385.83044,-385.871999,31.719,-1881.2744920361,-1893.0760537991,-1903.744961817,-1752.4199114491
gdb_121077,OCCC1CNC(=O)N1,3.2401,0.8928,0.78446,3.7904,72.07,-0.2456,0.0599,0.3055,1467.4370000000001,0.16104300000000002,-456.388108,-456.379018,-456.378074,-456.422611,33.249,-1791.3110367421,-1802.492619613,-1813.1615276311,-1662.834844082
gdb_31995,c1c([nH]c(n1)CO)CO,4.394880000000001,0.89771,0.75864,4.0816,72.72,-0.2043,0.0326,0.2369,1448.6089,0.136371,-455.166704,-455.15743499999996,-455.156491,-455.20210199999997,32.4,-1652.72065402,-1662.0128072921,-1671.4957233001,-1538.1770436870002
gdb_54880,CC(=O)C1N=CNC1=O,2.70082,1.5064,1.14126,3.3552,67.15,-0.2464,-0.0337,0.2127,1066.8437,0.111996,-454.00698099999994,-453.99859000000004,-453.997646,-454.04094699999996,29.698,-1552.835653927,-1560.901654613,-1569.1985786110001,-1450.764412478
gdb_39797,C1NC11C2OC1C21CN1,3.4660599999999997,1.4585700000000001,1.18505,1.5969,73.58,-0.2416,0.0606,0.3022,1046.1689,0.13616199999999998,-417.852578,-417.845307,-417.844363,-417.884093,29.151,-1592.279614649,-1602.826158412,-1612.30907442,-1475.5554105410001
gdb_29393,Cc1cc([nH]c1)CC=O,4.88886,0.8740899999999999,0.79161,1.1565,82.97,-0.2028,-0.0271,0.1757,1452.1944,0.14715799999999998,-402.003189,-401.993993,-401.99304900000004,-402.038779,32.615,-1835.3935439921,-1845.621313183,-1855.697225196,-1714.849065092
gdb_123979,c1c2c([nH]n1)CN=CO2,3.8572800000000003,1.64212,1.1599700000000002,1.4631,67.56,-0.2228,0.0024,0.2251,962.8138,0.105503,-432.887426,-432.881059,-432.88011500000005,-432.918357,24.587,-1465.885496851,-1474.333023009,-1482.036951002,-1368.5431632260002
gdb_102472,CCC(OC)C(=O)CC,2.13055,1.0564200000000001,0.80219,2.7426,83.26,-0.2331,-0.0133,0.2198,1565.9278,0.201848,-425.44367400000004,-425.43210300000004,-425.431159,-425.481367,40.069,-2123.0449246101,-2136.225123646,-2149.2660156839997,-1970.4447759539999
gdb_46013,C1CC(=CCC1=O)C#N,4.43069,0.99885,0.85057,2.2612,77.69,-0.2582,-0.05,0.2083,1284.8024,0.125165,-400.804322,-400.796329,-400.795384,-400.83741200000003,29.508000000000003,-1710.9453316031,-1720.1508886331,-1729.040181127,-1602.2030419751002
gdb_19678,N#CC1C2C3OC1C23,5.02803,1.83645,1.70795,5.1843,60.63,-0.2573,0.015,0.2723,755.6995,0.096635,-361.39915,-361.39330099999995,-361.392357,-361.42917,22.623,-1360.8869259169999,-1368.7715765021,-1375.883135999,-1272.716263836
gdb_105651,COC1(CNC1C)C#N,2.07051,1.40083,1.25702,2.5191,76.67,-0.2409,0.0177,0.2586,1156.7089999999998,0.157977,-419.184929,-419.17528799999997,-419.174344,-419.219329,34.764,-1800.4902383941,-1811.3266913151,-1821.995599333,-1672.2054359791
gdb_103001,CNC1(C#N)C(N)C1N,1.9779900000000001,1.41072,1.1694799999999999,5.8885,77.61,-0.217,0.0313,0.2482,1182.2616,0.15947,-415.354107,-415.343963,-415.34301899999997,-415.388811,36.985,-1745.7758461570002,-1756.2960345420001,-1766.96494256,-1617.321616312
gdb_27421,CC1=NC(=N)N=CC=N1,2.6827,1.72219,1.21927,4.1611,76.11,-0.2479,-0.0988,0.1491,1016.6133,0.11338499999999999,-412.996552,-412.988878,-412.987934,-413.028733,28.553,-1522.09210549,-1530.6080301289999,-1538.904954127,-1418.796593982
gdb_126786,CCn1c(=O)oc(n1)O,2.71231,1.36562,0.9640200000000001,1.4809999999999999,63.67,-0.2283,0.0292,0.2575,1182.0842,0.112328,-491.127951,-491.11949100000004,-491.118547,-491.16177999999996,30.143,-1492.069564894,-1500.09163995,-1508.388563948,-1389.65633104
gdb_70976,CC12CC3(CC1C23)C=O,3.45305,1.28798,1.10001,2.9361,80.84,-0.2469,-0.0277,0.2191,1147.3113,0.158578,-385.85551499999997,-385.847369,-385.846425,-385.888235,31.516,-1891.3309512701,-1903.1067851641,-1913.7756931820002,-1762.6081475731
gdb_26563,c1nc(=O)c(c(o1)N)O,2.48164,1.9197799999999998,1.08354,5.266,65.55,-0.2136,-0.0406,0.17300000000000001,1002.4009,0.090435,-489.934795,-489.927305,-489.92636100000004,-489.966639,28.305999999999997,-1371.2050564041,-1378.0587097020002,-1385.16964169,-1280.917178957
gdb_66262,CC1(CNCC1=O)C#N,1.99275,1.65516,1.4003700000000001,3.2814,72.17,-0.2434,-0.0493,0.1941,1038.4137,0.136325,-418.039901,-418.031224,-418.030279,-418.073305,31.835,-1709.8264830560001,-1719.4907491651002,-1728.973037664,-1594.287643449
gdb_90963,CC1OC2C3CC2(O)C13,2.7591799999999997,1.72862,1.43159,1.4172,74.75,-0.2273,0.0756,0.3029,986.0247,0.159794,-422.98903099999995,-422.98136600000004,-422.980422,-423.02066500000006,31.000999999999998,-1838.4375901510998,-1850.514628365,-1861.1835363829998,-1708.7772880081
gdb_110847,COC1C2OC(C)=NC12,2.70044,1.5083799999999998,1.2762,0.7192,72.47,-0.2303,0.0234,0.2537,1072.628,0.147125,-439.073099,-439.064637,-439.06369299999994,-439.106322,31.177,-1742.5868454191,-1753.274578707,-1763.35049072,-1620.301029044
gdb_83197,OC1C2NCC(=N)OC12,2.97305,1.47153,1.2795299999999998,3.8834,69.74,-0.2288,0.022000000000000002,0.2508,1023.4313,0.13811400000000001,-455.116447,-455.108931,-455.10798700000004,-455.148693,29.49,-1621.1839342070002,-1631.5761107560002,-1641.059026764,-1504.6624155060001
gdb_19783,O=C1C2OC2C2CN12,3.3205,2.7572799999999997,1.84926,3.7356,57.08,-0.2512,-0.0331,0.2181,698.4808,0.096712,-398.567413,-398.561642,-398.560698,-398.597219,22.489,-1329.797620021,-1337.7305887989999,-1344.842148296,-1241.236647342
gdb_3994,CC1(CCC1=NO)C,3.10827,1.53033,1.33934,0.7395,75.32,-0.2401,0.0102,0.2503,1026.1629,0.163126,-365.021618,-365.01252900000003,-365.011585,-365.056651,33.427,-1750.4633383870998,-1761.646176276,-1772.3157118029999,-1625.3254936070998
gdb_94011,CC1CCC(C=O)C=C1,3.295,1.00071,0.9161299999999999,3.0637,85.92,-0.2366,-0.0269,0.2097,1368.5381,0.182822,-387.122744,-387.11373399999997,-387.11279,-387.156989,33.888000000000005,-2058.6769339171,-2071.6877055231,-2083.542605551,-1917.5401196731
gdb_25428,c1c(nc(o1)C#N)C=O,4.78791,1.00396,0.82993,5.1613,68.56,-0.2794,-0.0829,0.1965,1237.3039,0.06615599999999999,-451.58361900000006,-451.576453,-451.575509,-451.61589699999996,24.906999999999996,-1287.8574284971,-1293.137916732,-1299.06285671,-1211.4688754001
gdb_38647,C1C2CC3C=CCC1C23,2.61952,1.9997,1.42824,0.2996,86.17,-0.231,0.0299,0.2609,983.6242,0.186677,-349.94689,-349.940051,-349.939107,-349.977781,29.228,-2085.002818994,-2099.3765401481,-2111.231440176,-1942.0173632360998
gdb_24488,c1c2c(ncn1)CC=C2,3.97096,1.6459099999999998,1.1719700000000002,2.928,80.1,-0.2387,-0.0408,0.1979,979.7228,0.11683800000000001,-379.744797,-379.738675,-379.737731,-379.775146,24.686999999999998,-1661.664539797,-1671.1556134220998,-1679.45253742,-1557.8356456391
gdb_74805,CC1=CN2CC2(C)C1=O,2.71985,1.62758,1.16629,2.4282,79.38,-0.2369,-0.046,0.1909,1089.8192,0.146958,-401.968458,-401.959769,-401.958825,-402.001706,32.202,-1813.5995289129999,-1824.1454451671,-1834.22135718,-1691.585423935
gdb_74511,CC1=CC2(CN2C1)C=O,2.99258,1.29145,1.01629,3.3149,79.56,-0.2268,-0.0246,0.2022,1198.764,0.146873,-401.946082,-401.937755,-401.936811,-401.978983,31.462,-1799.558387529,-1810.3314620410001,-1820.407374054,-1677.3265369281
gdb_109198,OCC1=NCC(N1)C#N,2.6956,1.22571,0.96675,2.2247,70.06,-0.2472,-0.0055,0.2417,1211.2042,0.125937,-434.084091,-434.075662,-434.07471799999996,-434.11786900000004,30.416999999999998,-1588.951934422,-1597.8826425101001,-1606.772562513,-1480.0251571479998
gdb_44684,O=C1NC2C=CCCC12,3.3088,1.4110200000000002,1.08579,3.7081,77.28,-0.2417,0.0071,0.2487,1103.4065,0.150342,-401.98675499999996,-401.97921099999996,-401.978267,-402.018993,29.393,-1825.081061086,-1836.3454751451002,-1846.4213871579998,-1702.4331720180999
gdb_71633,CC12OC3C1OCOC23,2.88028,1.66383,1.60117,0.6286,67.05,-0.2406,0.0686,0.3092,924.9581,0.136388,-458.897118,-458.890001,-458.88905700000004,-458.928392,28.268,-1644.4281225851,-1655.071302734,-1664.554218742,-1527.6568553020002
gdb_42236,C#CC(=O)C1CC(=O)C1,4.24033,0.92155,0.82042,3.7089,74.28,-0.2517,-0.0704,0.1813,1338.6394,0.109332,-420.610221,-420.60147,-420.600525,-420.64528099999995,31.198,-1601.4161456891,-1609.2574981531,-1617.5537946420002,-1500.647612924
gdb_118206,COCC(C)OC(C)=N,3.0608,0.83721,0.72875,1.2789,81.57,-0.251,0.0362,0.2873,1659.8465,0.191079,-441.49079800000004,-441.47963899999996,-441.478695,-441.528018,38.766999999999996,-2004.0114873820999,-2016.5610398731,-2029.008935906,-1857.491900936
gdb_89654,CC12NC1(CC2O)C#N,2.9990099999999997,1.29906,1.0766799999999999,2.3435,74.69,-0.2564,0.0046,0.261,1132.193,0.135798,-417.984132,-417.975574,-417.97463,-418.017172,32.244,-1674.830933635,-1684.5698733151,-1694.0527893229998,-1559.0636807521
gdb_3931,c1nnn(n1)C=O,8.941180000000001,2.26257,1.80565,3.1057,46.89,-0.3037,-0.0944,0.2093,612.5369999999999,0.056315,-371.541704,-371.536471,-371.535526,-371.570981,17.555999999999997,-908.3763808189999,-913.090855936,-917.830431413,-847.998719857
gdb_86396,CC1CC(C)C2(CC2)C1,2.47034,1.29273,0.9633799999999999,0.2575,92.61,-0.2572,0.084,0.3412,1360.1478,0.22970300000000002,-352.37001000000004,-352.360547,-352.359603,-352.404403,37.518,-2349.829187246,-2366.1105357601,-2380.337419808,-2182.2993444620997
gdb_7505,CC#CC1(C)CC1O,2.9997700000000003,1.3558700000000001,1.07174,1.8173,78.06,-0.2347,0.046,0.2807,1173.603,0.15073499999999998,-347.76935,-347.759688,-347.758744,-347.804172,34.08,-1741.109689233,-1751.04503923,-1761.1215787520002,-1622.8330278591
gdb_123562,C1C2CC3=C(NN=C3)N12,3.96434,1.61808,1.25437,2.4814,73.92,-0.2135,0.0284,0.2419,961.993,0.129127,-396.91585200000003,-396.90954700000003,-396.90860299999997,-396.94635,25.726999999999997,-1620.056300534,-1630.3204652470001,-1639.21038525,-1509.3273174121
gdb_87935,OC1CC11CC(=O)CN1,3.42069,1.13032,0.9734299999999999,3.0625,72.19,-0.2216,-0.0163,0.2054,1219.8162,0.147335,-439.079879,-439.07148099999995,-439.070537,-439.113142,32.165,-1746.8413564391,-1757.5692503031,-1767.645162316,-1624.580640424
gdb_98210,COC(=O)C(C)C#CC,2.20955,0.98016,0.7589199999999999,1.7439,81.42,-0.2447,0.0103,0.2549,1583.6166,0.155567,-423.04041900000004,-423.02915099999996,-423.028207,-423.07957000000005,37.150999999999996,-1870.684022643,-1880.50014593,-1891.1690539479998,-1745.7407056529998
gdb_68922,CC12CC1(C)OCCO2,2.20627,1.86027,1.28335,0.4405,78.61,-0.2241,0.0791,0.3032,1078.9832,0.181523,-424.21185,-424.20296500000006,-424.202021,-424.244724,34.834,-1977.9158981081,-1991.0044808301002,-2002.859380858,-1835.6627453531
gdb_70119,CC12CN1C=NC2C=O,2.39405,1.7572599999999998,1.3194299999999999,1.0096,72.23,-0.2452,-0.0354,0.2098,1003.2779,0.135403,-417.999456,-417.991331,-417.990387,-418.03238999999996,30.156,-1684.4468815510002,-1694.4575326279999,-1703.9404486360002,-1568.613112714
gdb_98625,COC(=O)C1C2CCC12,4.08701,1.0591,0.9720200000000001,1.4373,77.11,-0.2534,0.0139,0.2673,1281.1477,0.159428,-423.02935,-423.02068099999997,-423.019737,-423.06351399999994,31.756,-1863.7381255220998,-1875.1851447000001,-1885.8540527179998,-1735.665421149
gdb_87425,OC1CC11C2C3C1CN23,3.82591,1.3825100000000001,1.23393,2.6758,75.56,-0.2297,0.0758,0.3055,1040.1714,0.148127,-401.847704,-401.840391,-401.839447,-401.879223,29.613000000000003,-1737.8253071271,-1749.2346757651,-1759.310587778,-1614.7262390880999
gdb_91103,OC1CC2C3CC=C1C23,3.1082400000000003,1.69976,1.3502100000000001,1.7012,80.47,-0.2203,-0.0012,0.2191,985.2867,0.16161099999999998,-385.84735,-385.840248,-385.839304,-385.87842,29.559,-1886.2073402851001,-1898.638293575,-1909.307201593,-1756.4491467381
gdb_10657,CCC1(OC1C)C=O,2.7243,1.6684599999999998,1.27481,2.5735,69.45,-0.2528,-0.034,0.2188,1031.1147,0.150699,-384.941902,-384.932821,-384.931876,-384.975751,32.251,-1712.7117694381,-1723.011074655,-1733.0869866679998,-1593.568518135
gdb_1823,N=C1CC(=O)CO1,6.47269,2.16529,1.6560099999999998,1.3644,51.9,-0.264,-0.0446,0.2194,691.9104,0.090172,-360.54737,-360.541252,-360.540308,-360.578038,21.79,-1221.0685080819999,-1227.894550984,-1234.413741985,-1142.175566566
gdb_94037,OC1CCC(CC#N)=C1,4.32946,0.86355,0.78561,2.8689999999999998,78.41,-0.263,-0.0095,0.2536,1434.4048,0.148077,-401.976651,-401.96777799999995,-401.966834,-402.011215,32.296,-1818.7407101501,-1829.1711647481,-1839.247076761,-1697.5524070160998
gdb_10444,C#CCC1(CO1)C#C,2.85918,1.7724099999999998,1.27442,1.9035,68.69,-0.2626,0.0194,0.282,954.9912,0.103447,-345.305657,-345.297435,-345.29649,-345.338436,30.076,-1450.823398324,-1458.1081503051,-1465.812078298,-1358.0066596071001
gdb_70673,CC12CC1CCC=CC2,2.35307,1.60008,1.20684,0.209,90.36,-0.2333,0.0263,0.2596,1156.1125,0.207761,-351.16205099999996,-351.153576,-351.152632,-351.194419,34.634,-2219.6756630291,-2234.7998849471,-2247.840776985,-2064.246076292
