smiles,PCBA-1030,PCBA-1458,PCBA-1460,PCBA-2546,PCBA-2551,PCBA-485297,PCBA-485313,PCBA-485364,PCBA-504332,PCBA-504333,PCBA-504339,PCBA-504444,PCBA-504467,PCBA-588342,PCBA-624296,PCBA-624297,PCBA-624417,PCBA-651965,PCBA-652104,PCBA-686970,PCBA-686978,PCBA-686979,PCBA-720504
O=C1CNC(=O)/C1=C/c1ccc(Br)cc1,,,,,,,,,,,,,,,,,,,,,,,1.0
O=C(COc1ccccc1)N1CCN(CC2CC=CCC2)CC1,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
CN(C)c1ccc(N2C(=O)CC(Nc3ccc(N4CCOCC4)cc3)C2=O)cc1,,,1.0,,,,,,,,,0.0,,,,,,,,,,,
COc1ccc(OC)c(C2c3[nH]c4ccccc4c3C[C@H]3C(=O)N(CCCOC(C)C)CC(=O)N23)c1,,,,,,,,,,,,,0.0,,,,,,,,,,
CCCC(=O)Nc1ccc(-c2cn3cccnc3n2)cc1,,,,,0.0,,,,,,,,,,,,,,,,,,
COc1ccc2nc(C)cc(N/N=C/c3ccccc3)c2c1,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
CCOC(=O)c1ccc(NS(=O)(=O)c2ccc3c(c2)CCN3C(=O)CC)cc1,,,,,,,,,,,,1.0,,,,,,,,,,1.0,
COc1ccc(C(=O)/C=C\c2ccc(NC(=O)c3cccs3)cc2)cc1,,,,,,,,,,,,,,,,1.0,,,,,,,
Cc1cc(Cl)c(OCCOCCN2CCC(C)CC2)c(Br)c1,,,,,,,,,,,1.0,,,,,,,,,,,,
CCOc1cc(CN2CCN(c3ccc(C(C)=O)cc3)CC2)ccc1OC,,,,,,,,,,,1.0,,,,,,,,,0.0,,,
COc1ccc(/C=C2/C(=O)N(c3ccccc3)N=C2C)cc1OC,,,,,,,,,,,,,,1.0,,,,,,,,,
CC(=O)N1CCc2c(sc(NC(=O)Cc3ccc(C)cc3C)c2C#N)C1,,,,,,,,,,,,,,,,,,,,,,,1.0
COC(=O)CSc1nc(C)cc(N2CCOCC2)n1,0.0,,,,,,,,,,,,,,,0.0,,,,,,,
Cc1ccc2c(c1)c1c3n2CCN(C(=O)CN2CCN(C)CC2)C3CCC1,,,,,,,,,,,,,,,,,,,,1.0,,,
COc1ccccc1NC(=O)COc1cccc(-n2cnnn2)c1,0.0,,,,,,,,,,,,,,,,,,,,,,
COC(=O)c1cc(NS(=O)(=O)c2cc(Br)cc3c2N(C(C)=O)CC3)cc(C(=O)OC)c1,,,0.0,,,,,,,,,,,,,,,,,,,,
Cc1ccc(S(=O)(=O)N(C)c2ccc(C(=O)NCC(c3ccco3)N(C)C)cc2)cc1,,,,,,,,,,,,,,,,,1.0,,,,,,
CCCC(C(=O)NC1CCCC1)N(Cc1ccc2c(c1)OCO2)C(=O)c1snc(C(N)=O)c1N,1.0,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,
COc1cccc(C(=O)OCC(=O)Nc2sc3c(c2C(N)=O)CCC3)c1O,,,,,,,,,,,,,,0.0,,,,,,,,,
O=C(CSCC(=O)Nc1nc(-c2ccc3c(c2)OCO3)cs1)Nc1nccs1,1.0,,,,,,,,,0.0,,1.0,0.0,,,,,,0.0,,,,
COc1ccc(/C(O)=C2/C(=O)C(=O)N(c3nc(C)c(C)s3)C2c2ccco2)cc1,0.0,0.0,0.0,,0.0,,,,1.0,,,,0.0,,,,,,,,,,
COC1=CC=C/C(=C\Nc2ccc3c(c2)CCC3)C1=O,,,,,,,,,,,,,,,0.0,,,,,,,,
CC1CCCCN1C(=O)C1CCN(c2nc(-c3ccccc3)nc3c2CCC3)CC1,,,,,,,,,,,,,,,,,1.0,,,,1.0,,
CN(CC(=O)Nc1cccc(F)c1)C(=O)c1ccc(COc2ccccc2)cc1,,,,,,,,,,,,,,,,,,,,1.0,,,
Cc1ccc(S(=O)(=O)N2C[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3[C@@H](C)[C@@H]2c2cn(Cc3ccccc3)c3ncccc23)cc1,,,,,,,,,,,,1.0,,,,,,,,,,1.0,
COc1cc(C(=O)NCCc2ccc3c(c2)OCO3)cc(OC)c1OC,,,,,,,,,,,,,,,,,,,,0.0,,,
O=c1cc(CCl)[nH]c(Cc2c(Cl)cccc2Cl)n1,,,,,,,,,,,,,,,,,,,,1.0,,,0.0
Cc1ccc(CSCCNS(=O)(=O)c2ccc(C)cc2)cc1,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,
O=C(Cc1ccc(Cl)cc1)Nc1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCCC1,,,,,,,,,,,,,,,,,,,,,,0.0,
COc1cccc(N2CC(C(=O)Nc3nnc(SCc4cccnc4)s3)CC2=O)c1,,,,,,,,,,,,,,,,,,1.0,,,,,
CCN(c1ccc(C)cc1C)S(=O)(=O)c1nnc(NC(=O)c2ccco2)s1,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0
c1ccc(COc2ccc(OCCCN3CCCCC3)cc2)cc1,,,,,,1.0,,,,,,,,,,,,,,,,,
Cc1cc(C(=O)OCC(=O)c2cccs2)ccc1[N+](=O)[O-],,,,,,,,,,,,,,,,,,,0.0,,0.0,,
CCOc1ccc2nc(NC(=O)c3ccoc3C)sc2c1,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,
Cc1csc(-c2coc3cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]4O)ccc3c2=O)n1,,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,
CCCN1C(=O)/C(=C/c2c(N3CCNC(=O)C3CC(=O)OCC)nc3c(C)cccn3c2=O)SC1=S,,,1.0,0.0,,0.0,,,,,,1.0,1.0,,,,,,,,,,
Cc1nc(N2CCN(C)CC2)c2cc(-c3ccccc3)sc2n1,,,,,,,,,,,,,,,0.0,,,,,,,,
CCOc1ccc(CCn2c(-c3ccco3)nc3ccccc3c2=O)cc1OCC,,,,,,,,,,,,,1.0,,,,,,,,,,
COc1ccc(Cl)cc1NC(=O)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
CCc1ccc(NC(=O)CSc2nnc(-c3n[nH]c4ccccc34)n2-c2ccccc2)cc1,,0.0,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,0.0
Cc1ccc(-c2cccc(C3CC=CC4C3C(=O)N(Cc3ccccc3)C4c3cc(C)ccc3F)c2)cc1,,,,,,,,,,,,,,,,,1.0,,,,,,
Cc1ccc(-c2nc(CS(=O)CC(=O)NC(C)CCc3ccccc3)c(C)o2)cc1,,,,,,,,1.0,,,,,,0.0,,,1.0,,,,,,
O=C(NC1CCCCC1)N(CCN1CCCC1)Cc1cc2cc3c(cc2[nH]c1=O)OCCO3,,,,,,,,,,,,,,,,,,1.0,0.0,,,,
COc1ccc(OC)c(NC(=O)C2C3CCC(C3=C(C)C)C2C(=O)O)c1,,,,,,,,,,,,,,,,,,,1.0,,0.0,,
O=C(Nc1ccc(N2CCCCC2)c(S(=O)(=O)Nc2ccccc2Cl)c1)c1cccnc1,,,,,,,,,,,,,,,1.0,,,,,,,,0.0
Cc1c(Cl)cccc1NC(=O)c1ccccc1-c1ccccc1C(=O)O,,,,0.0,,,,,,,,,,,,,,,,,,,
CCCCn1nc(NC(=O)CCC)c2cc3cc(OC)ccc3nc21,,,,,,,,,,,,,,,,,,1.0,,,,,
CCOCCCN(Cc1ccco1)S(=O)(=O)c1cc2c(cc1Cl)NC(=O)CO2,,,,,,,,1.0,,,0.0,,,0.0,,,,,,,,,
Nc1c(Cl)cc(Cl)cc1C(=O)OCC(=O)N1CCCC1=O,,,,,,,,,,,,,,,,,,,,0.0,,,
Cc1ccc(/C=C2/C(=O)c3ccc(C(=O)O)cc3C2=O)o1,,,1.0,,0.0,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0
O=C(Nc1cccn(Cc2c(Cl)cccc2Cl)c1=O)c1ccccc1Cl,,,,,,,,,,,,,,,,,,,1.0,,,,
CCc1c(C(=O)Nc2cc(C(=O)OC)ccc2C)csc1C,,,,,,,,,,,,,,,,0.0,,,0.0,,,,
CC12CCC(=O)N1C(C(=O)Nc1ccccc1N1CCCCC1)CS2,,,,,,,,,,,,,0.0,,,,,,,,,,
OCC[C@H]1C[C@H](O)[C@@H](O)[C@@]2(OCc3ccccc32)O1,,,,,,,,1.0,,,,,,,,,,,,,,,
Cc1cccc(NS(=O)(=O)c2ccc(C)c(C(=O)OCC(=O)Nc3cc(C)on3)c2)c1,,1.0,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0
COC(=O)/C(=C\OCCOc1ccc(Cl)cc1)c1ccccc1,,,,,,,,,,,,,,,,,,,1.0,,,,
CC(C)CN(CC(C)C)C(=O)CN1C(=O)NC2(CCc3ccccc3C2)C1=O,,,,,,,,,,,,,0.0,,,,,,,,,,
Cc1ccc2[nH]c(CNC(=O)c3ccc(F)cc3)cc2c1,,,,,,,,,,,,,,,,,,,,,0.0,,
Cc1oc(-c2ccccc2)cc1C(=O)Nc1cccc2ccccc12,,,,,,,,,,,,,,,,,1.0,,,,,,0.0
CC1=C(C(=O)Nc2ccc(Cl)cc2)C(c2ccccc2C)N2NC=C(C(=O)Nc3ccc(C)cc3)C2=N1,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,
CCN(Cc1ccncc1)Cc1c(O)ccc2ccccc12,,,,,,,,1.0,1.0,,1.0,0.0,,,,0.0,,0.0,,,,,1.0
CCCN(C(=O)c1cc2c(s1)-c1ccccc1OC2)c1ccc(C(C)C)cc1,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
COCc1nnc(NC(=O)CSCc2ccccc2)s1,1.0,,,0.0,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,1.0
O=C1C2=C(c3ccccc31)[N+](=O)C1CCCCC1N2[O-],,,1.0,,,0.0,,,,,,,,,,,,,,,,,
CSc1ccc(-c2sc(Nc3ccccc3)n[n+]2-c2ccccc2)cc1,,,,,,,,,,,1.0,,,,,,,,,,,,1.0
Cn1cnnc1SCc1ccc(C#N)cc1,,,,,,,,,0.0,,,,,,,,,,,,,,
Fc1ccc(Oc2nc(-c3ccccn3)nc3ccccc23)cc1,,,,1.0,1.0,,,,,,,0.0,,,,,1.0,,,,,,
CCc1nnc(N/N=C/c2ccc(N3CCC(C)CC3)c([N+](=O)[O-])c2)n1N,1.0,0.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,
COc1ccc(CCNC(=O)c2ccc3c(c2)N(Cc2ccccc2)CCS3)cc1OC,,,,,0.0,,0.0,,,,,,,,,,,,,,1.0,1.0,
c1ccc(N2CCN(c3nc4cc5c(cc4s3)OCO5)CC2)cc1,1.0,,1.0,,,1.0,1.0,,,,0.0,,,,0.0,,,,,,,,1.0
O=C(CN1N=C(c2ccc(Cl)cc2)CCC1=O)NCCc1ccc(Cl)cc1,,,,,,,,,,,,,,,,,,,1.0,,,,
N#Cc1nc(-c2ccc(COc3ccc(Cl)cc3)o2)oc1N1CCC(C(N)=O)CC1,,,,,,,,,,,,,,,,,,1.0,0.0,,,,
COc1ccccc1Cc1noc(-c2cc(Cl)ccc2OC)n1,,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,
Cc1ccc(NC(=O)CN2CCc3cc4c(cc3C2C)OCCCO4)cc1,,,,,,,,,,,,,1.0,,,,,,0.0,,,,
COc1ccc2c(c1)NP(=S)(c1ccccc1)N2C,,,,,,,,,,,1.0,,,,,,,,,,0.0,,
O=C(N/N=C/c1ccccn1)C12CC3CC(CC(C3)C1)C2,,,,1.0,,0.0,,,,,,,,,,,,,,,,,
CN(C)c1ccc(C(=O)N/N=C/c2ccccn2)cc1,,,,,,,,,,,,,,1.0,,,,,,,,,
O=C(NC1CCCCC1)[C@H](O)[C@@H](O)C(=O)NC1CCCCC1,,,,,,,,,,,,0.0,,,,,,,,,,,
O=C(Nc1nccs1)C(Br)C(Br)c1ccccc1,,,,,,,1.0,0.0,1.0,,0.0,,,,,,,,1.0,,,1.0,1.0
O=C(CSc1ccc2nnc(-c3cccc(F)c3)n2n1)NCC1CCCO1,,,,,0.0,,,,1.0,,1.0,,,,,,,,,,,,
Cc1ccc2cc(C(=O)O)c(C)nc2c1,,,,,,,,,1.0,,,,,,,,,,,,,,
Cc1nn(-c2ccccc2)cc1/C=N/NC(N)=S,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,0.0
O=S(=O)(NC1CC(NS(=O)(=O)OCC(Cl)(Cl)Cl)C2CCCCC12)OCC(Cl)(Cl)Cl,,,,,,,,1.0,,,,,,0.0,,,,,,,,,
COc1ccc(C=C2C(=O)N(C)C(=O)N(C)C2=O)cc1CSc1ccccn1,,,,,,,,,,,,,,,,,,,,,,,1.0
O=S(=O)(c1ccc(Cl)cc1)N1CCN(c2ccc(N3CCOCC3)nn2)CC1,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,,,,,,
CCCCCC(=O)Nc1cc(N(C)C)nc2ccccc12,,,,,,,,,,,,,,,,,,1.0,,,,,
Cc1csc(NC(=O)c2cnccn2)n1,,,,,,,,0.0,1.0,,1.0,,,,0.0,,,,,,,,
Nc1c(S(=O)(=O)c2ccccc2)c2nc3ccccc3nc2n1/N=C/c1cccc(O)c1,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1.0,
CCOc1ccccc1C1NC(=O)c2ccccc2O1,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,0.0,
CNc1nc(N)c(C(=O)C23CC4CC(CC(C4)C2)C3)s1,,,,,,,,,,,,,,,,,,,,,,0.0,
COC(=O)Nc1ccc(S(=O)(=O)N2CCC(C(=O)N(C)C3CCCCC3)CC2)cc1,,,,,,,,,,,,,,,,,,1.0,,,1.0,,
CN(c1ccccc1)c1ccc(/C=C/[N+](=O)[O-])cc1,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,
N#C[C@H]1[C@H](c2ccccc2)[C@](C#N)(C(=O)c2ccccc2)[C@@H]2C=Cc3ccccc3N21,,,,,,,,,1.0,,,,1.0,,,,,,,,,,
COCC(=O)N(Cc1cc2cc(OC)ccc2[nH]c1=O)c1ccccc1OC,,,,,,,,,,,,,,,,,,1.0,,,,0.0,
CCC(C(=O)Nc1nccs1)(C(F)(F)F)C(F)(F)F,,,,1.0,1.0,,,,,1.0,,,,,,,,,0.0,,,0.0,
C=CCn1c(SCC(=O)Nc2cc(C)on2)nc2sc(CC)cc2c1=O,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,
COc1ccc(C(=O)N(CCc2ccccc2)Cc2ccccc2)c(OC)n1,,,,,,,,,,,,,,,,,1.0,,,,,,
Cc1c(C2(O)CCCCC2)[nH]c2ncccc12,,,,,,,,,,,0.0,,,,,,,,,,,,
CC(C)Sc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccc(Cl)cc1,1.0,,,,,,,,,,1.0,,,,0.0,,,,,,,,
CCOc1ccc(C(=O)CC(C(=O)O)N2CCCCC2)cc1,,,,,,,,,,,,,,,,,,,1.0,,,,
CC(C)N1CCc2c(sc(NC(=S)NC(=O)c3ccccc3)c2C#N)C1,,,,,,,,,1.0,,,,,,,,,,,,,,
COc1ccc(Br)cc1/C=N/NC(=O)c1nc(-c2ccccc2)n2c1CCCCC2,,,,,,,,,,,,,1.0,,,,,,,,,,
COc1ccc(NC(=O)COC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)cc1OC,,,,,,,,,,,0.0,,,,,,,,,,,,
COC(=O)c1ccc(/C=C/c2ccc3cccc(OC)c3n2)cc1,,,,,,,,,,,,,,1.0,,,,1.0,,,,,
CS(=O)(=O)c1ccc(-c2nnc(NC(=O)c3cccc(N4C(=O)CCC4=O)c3)o2)cc1,,,,,,,,,,,1.0,,,,,,,,,,,,
Cc1ccc(-c2n[nH]c(Cc3ccccc3)n2)cc1,,,,,,1.0,1.0,,,,0.0,,,,,,,,,,,,0.0
O=c1ccn(-c2cccc(C(F)(F)F)c2)nc1-c1ccn(-c2ccccc2F)n1,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,,,,,,
NS(=O)(=O)c1cccc(NC(=O)COC(=O)Cn2cc(C(F)(F)F)ccc2=O)c1,,,,,,,,,,,,,0.0,,,,,,,,,,
Cc1nn(-c2ccccc2)nc1C(=O)OCC(=O)N1CCCCC1C,,,,,,,,,,,,,,,,,,1.0,,,,0.0,
O=c1c2ccccc2oc2ccc(C#CC3(O)CCCCC3)cc12,,,,,,,,,,,,,,,,,1.0,,1.0,,,,
Nc1ccc(Cl)cc1C(=O)c1ccccc1Cl,,,,,,,,,,,,,,,,,,,1.0,,,,
CC1(OC(=O)CCc2ccccc2)C(=O)C=C2C=C(c3ccc(C#N)cc3)N(CCc3ccccn3)C=C2C1=O,,,1.0,,0.0,,,0.0,,,,0.0,0.0,,,,,,,0.0,,0.0,
C=CCn1c(O)c(CN2CCOCC2)c(C)c(C#N)c1=O,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
COc1ccccc1-c1nnc(NC(=O)c2ccc(S(=O)(=O)N(C)Cc3ccccc3)cc2)o1,,,,,,,,,0.0,0.0,,1.0,,,,1.0,,,,,,,
Cc1ccc(-c2noc(CCC(=O)NC3CCN(Cc4ccccc4)CC3)n2)cc1,,,,,,,,,,,,,,,,,,,,,,,0.0
COc1ccc(C2=NN(C(=O)CCCC(=O)O)C(c3cn(-c4ccccc4)nc3-c3ccccc3)C2)cc1,,,,,,,,,,,1.0,,,,,,,,0.0,,,,
Cc1ccc(OCCCCCCN2CCNCC2)c(Br)c1,,,,,,,,,,,,,,,,,1.0,,,,,,
CCCCN1C(=O)c2ccc(C(=O)NCc3ccco3)cc2C1=O,,,,,,,,,,,,,,,,,,,,,,,0.0
COC1=C(OC)C(=O)c2ccccc2C1=O,,,1.0,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc(S(=O)(=O)NC(C(=O)O)C2=CCC=CC2)cc1,,,,,,,,,,,,0.0,,,,,,,,,,,
O=C(CSc1nncs1)Nc1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCCC1,,,,,,,,,,,,,,0.0,,,,0.0,,,,,
COC(=O)c1ccc(C(=O)OC)c(NC(=O)c2c(-c3ccccc3)c(-c3ccccc3)nn(C)c2=O)c1,,,,,,,,,,0.0,,,,,,,,,,,,,
O=C1CCc2cc(S(=O)(=O)N3CCN(c4ccccc4F)CC3)ccc2N1,,,0.0,,,,,,0.0,,,,,,,,,,,,,,
Cc1nc2cc(C(F)(F)F)ccc2n1C1CCN(Cc2nnnn2Cc2ccc3c(c2)OCO3)CC1,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
CCOCCc1nnc(NC(=O)C2CC(=O)N(CCc3ccc(F)cc3)C2)s1,,,,,,,,,,,,,,,,,,,,,0.0,,
O=C(Nc1nnc(C2=COCCO2)o1)c1ccc(Br)cc1,,,,1.0,1.0,,,,,,,,0.0,,,,,,,,,,
Cc1cccc2[nH]c3c(N4CC=C(c5ccc(F)cc5)CC4)ncnc3c12,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,
CCN(C(=O)COc1cccnc1[N+](=O)[O-])C1CCS(=O)(=O)C1,,,,,,,,,,,,,,,,,,1.0,,,,,
O=C1C=C/C(=C/NNC(=O)C(=O)/C=C2\NC3(CCCC3)Cc3ccccc32)C=C1O,,,,,,,,,,,,,1.0,,,,,,,,,1.0,
C/C(=N\NC(=O)COc1ccc(C(C)(C)C)cc1)c1cc2ccccc2o1,,1.0,,,,1.0,1.0,,0.0,,,,,,,0.0,,,0.0,,,,
CC(=O)c1ccc(OCc2cc(C(=O)NC(C)CCn3cccn3)no2)cc1,,,,,,,1.0,,,,0.0,,,,0.0,,,0.0,,,1.0,,
O=C(Nc1cccc(C(F)(F)F)c1)c1cccnc1NCCc1ccccc1,,,,,,,,,,,,,,,,,,1.0,,,1.0,,
COc1ccc(-c2cc3nc(-c4ccccc4)cc(N4CCCC(O)C4)n3n2)cc1,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,
Cc1c(Cl)cccc1NC(=O)N1CCCN(c2nc(-c3ccccc3)ns2)CC1,,,,,,,,,,,,1.0,,,,,1.0,,,,,,
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,,,,,,,,,,,,,,,,0.0,,,,,,,
Cc1cc[n+](-c2nc([O-])sc2/C=N/NC(=S)Nc2ccccc2)cc1,1.0,,,,,0.0,,,1.0,,,,0.0,,,,,,,0.0,,,
COC(=O)c1c(NC(=O)CN2CCCc3ccccc32)sc(C)c1C,1.0,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(C(=O)Nc2nc3ccccc3s2)s1,,,,,,,,,,,0.0,,,1.0,,,,,,,,,
CCCCC(=O)Nc1ccc(C(=O)N2CCN(c3ccccc3OC)CC2)cc1,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,
COc1ccc(C(=O)NCCn2ccc3ccccc32)cc1,,1.0,,,,1.0,,,0.0,,,,,1.0,0.0,,,,,,,,
O=C(Nc1cccc(-c2nc3ccccc3o2)c1)c1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1,,,,,,,,,,,,1.0,1.0,,,,,,0.0,,,1.0,
Cc1ccnc(NC(=S)NC(=O)c2cccs2)c1,,1.0,,1.0,1.0,1.0,1.0,0.0,,,,,,1.0,0.0,,,0.0,1.0,0.0,,,
